,Weekly Fuel Price Update,RON95,RON97,Diesel
0,"November 14 – November 20, 2020",RM1.62 (+RM0.01),RM1.92 (+RM0.01),RM1.74 (+RM0.06)
1,"November 7 – November 13, 2020",RM1.61 (-RM0.03),RM1.91 (-RM0.03),RM1.68 (-RM0.06)
2,"October 31 – November 6, 2020",RM1.64 (RM0),RM1.94 (RM0),RM1.74 (RM0)
3,"October 24 – October 30, 2020",RM1.64 (-RM0.04),RM1.94 (-RM0.04),RM1.74 (RM0)
4,"October 17 – October 23, 2020",RM1.68 (+RM0.01),RM1.98 (+RM0.01),RM1.74 (+RM0.05)
5,"October 10 – October 16, 2020",RM1.67 (-RM0.04),RM1.97 (-RM0.04),RM1.69 (-RM0.01)
6,"October 3 – October 9, 2020",RM1.71 (+RM0.03),RM2.01 (+RM0.03),RM1.70 (-RM0.01)
7,"September 26 – October 2, 2020",RM1.68 (+RM0.05),RM1.98 (+RM0.05),RM1.71 (+RM0.04)
8,"September 19 – September 25, 2020",RM1.63 (-RM0.03),RM1.93 (-RM0.03),RM1.67 (-RM0.05)
9,"September 12 – September 18, 2020",RM1.66 (-RM0.05),RM1.96 (-RM0.05),RM1.72 (-RM0.06)
10,"September 5 – September 11, 2020",RM1.71 (-RM0.01),RM2.01 (-RM0.01),RM1.78 (RM0)
11,"August 29 – September 4, 2020",RM1.72 (+RM0.01),RM2.02 (+RM0.01),RM1.78 (-RM0.02)
12,"August 22 – August 28, 2020",RM1.71 (+RM0.03),RM2.01 (+RM0.03),RM1.80 (RM-0.02)
13,"August 15 – August 21, 2020",RM1.68 (+RM0.05),RM1.98 (+RM0.05),RM1.82 (+RM0.03)
14,"August 8 – August 14, 2020",RM1.63 (-RM0.05),RM1.93 (-RM0.05),RM1.79 (-RM0.04)
15,"August 1 – August 7, 2020",RM1.68 (RM0),RM1.98 (RM0),RM1.83 (+RM0.01)
16,"July 25 – July 31, 2020",RM1.68 (-RM0.04),RM1.98 (-RM0.04),RM1.82 (-RM0.05)
17,"July 18 – July 24, 2020",RM1.72 (RM0),RM2.02 (RM0),RM1.87 (RM0)
18,"July 11 – July 17, 2020",RM1.72 (+RM0.07),RM2.02 (+RM0.07),RM1.87 (-RM0.03)
19,"July 4 – July 10, 2020",RM1.65 (-RM0.04),RM1.95 (-RM0.04),RM1.84 (-RM0.02)
20,"June 27 – July 3, 2020",RM1.69 (+RM0.10),RM1.99 (+RM0.10),RM1.86 (+RM0.09)
21,"June 20 – June 26, 2020",RM1.59 (+RM0.03),RM1.89 (+RM0.03),RM1.77 (+RM0.04)
22,"June 13 – June 19, 2020",RM1.56 (+RM0.08),RM1.86 (+RM0.08),RM1.73 (+RM0.10)
